establecimiento_nombre,localidad_nombre,provincia_nombre,departamento_nombre
HOSPITAL MUNICIPAL DR. PEDRO SOLANET,AYACUCHO,BUENOS AIRES,AYACUCHO
CENTRO DE SALUD EVA PERON,AYACUCHO,BUENOS AIRES,AYACUCHO
CAPS NESTOR KIRCHNER,AYACUCHO,BUENOS AIRES,AYACUCHO
HOGAR GERIATRICO SAN ANTONIO,AYACUCHO,BUENOS AIRES,AYACUCHO
HOGAR DE ANCIANOS SAN FRANCISCO JAVIER,AYACUCHO,BUENOS AIRES,AYACUCHO
HOGAR PARA DISCAPACITADOS MI CASITA (D),AYACUCHO,BUENOS AIRES,AYACUCHO
INSTITUTO NACIONAL CENTRAL UNICO COORDINADOR DE ABLACION E IMPLANTE - I.N.C.U.C.A.I,CIUDAD DE BUENOS AIRES,CABA,COMUNA 1
ODONTO SALUD DRA. BERTONE,CIUDAD DE BUENOS AIRES,CABA,COMUNA 1
CENTRO DE ESTUDIOS METABOLICOS Y ENDOCRINOLOGOS  DR. BRUNO,CIUDAD DE BUENOS AIRES,CABA,COMUNA 1
CMB Nº 14,CONSTITUCION,CABA,COMUNA 1
CLINICA BASILEA S.A. D,CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO OSECAC CONGRESO,CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO ADMINISTRACION GES S.A.,CONSTITUCION,CABA,COMUNA 1
POLICLINICO CENTRAL OSPIA - OBRA SOCIAL DE EMPLEADOS DE LA ALIMENTACION,CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO FREMI,CONSTITUCION,CABA,COMUNA 1
CENTRO ODONTOLOGICO - FUNDACION CIENCIA Y SALUD,CONSTITUCION,CABA,COMUNA 1
CEMLA S.A. CENTRO MEDICO - MEDICINA LABORAL,CONSTITUCION,CABA,COMUNA 1
LABORATORIO MIRTHA CRISTINA RIJAVEC,CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO DR. OLIVERA,CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO DR. STAMBOULIAN - MICROCENTRO,CONSTITUCION,CABA,COMUNA 1
S.I.R.R. SISTEMA INTEGRAL DE REHABILITACION Y REINSERCION,CONSTITUCION,CABA,COMUNA 1
MEPRYL MEDICINA PREVENTIVA Y LABORAL,CONSTITUCION,CABA,COMUNA 1
IMDYR - INSTITUTO DE MEDICINA DEL DEPORTE Y REHABILITACION,CONSTITUCION,CABA,COMUNA 1
INSTITUTO FRENOPATICO S.A. (M),CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO DE ACUPUNTURA CHINA,CONSTITUCION,CABA,COMUNA 1
CENTRO MEDICO COMEX,CONSTITUCION,CABA,COMUNA 1
CENTRO ODONTOLOGICO DEL HOSPITAL BRITANICO,CONSTITUCION,CABA,COMUNA 1
INSTITUTO QUIRURGICO DEL CALLAO,CONSTITUCION,CABA,COMUNA 1
VACUNATORIO DEL MINISTERIO DE DESARROLLO SOCIAL - PISO  21,MONSERRAT,CABA,COMUNA 1
